v8-version,8,5,210,20,0
code-creation,Builtin,3,2558,0x1097951c0,76,LoadIC_FunctionPrototype
code-creation,Builtin,3,2564,0x109795220,16,LoadIC_StringLength
code-creation,Builtin,3,2569,0x109795240,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2575,0x109795260,3376,LoadIC_NoFeedback
code-creation,Builtin,3,2580,0x109795fa0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2586,0x109795fe0,7280,StoreIC_NoFeedback
code-creation,Builtin,3,2591,0x109797c60,176,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2604,0x109797d20,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,2610,0x109797d80,336,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2616,0x109797ee0,336,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2623,0x109798040,336,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2630,0x1097981a0,336,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2637,0x109798300,7174,StoreFastElementIC_Standard
code-creation,Builtin,3,2643,0x109799f20,11072,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2650,0x10979ca80,7170,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2656,0x10979e6a0,6156,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2663,0x10979fec0,9896,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2669,0x1097a2580,22520,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2676,0x1097a7d80,9896,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2683,0x1097aa440,13008,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2690,0x1097ad720,836,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2695,0x1097ada80,156,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2701,0x1097adb20,76,HasIndexedInterceptorIC
code-creation,Builtin,3,2707,0x1097adb80,172,EnqueueMicrotask
code-creation,Builtin,3,2712,0x1097adc40,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2718,0x1097adc60,2644,RunMicrotasks
code-creation,Builtin,3,2723,0x1097ae6c0,2502,HasProperty
code-creation,Builtin,3,2728,0x1097af0a0,1152,DeleteProperty
code-creation,Builtin,3,2733,0x1097af540,2007,CopyDataProperties
code-creation,Builtin,3,2738,0x1097afd20,9174,SetDataProperties
code-creation,Builtin,3,2744,0x1097b2100,36,Abort
code-creation,Builtin,3,2748,0x1097b2140,36,AbortCSAAssert
code-creation,Builtin,3,2753,0x1097b2180,12,EmptyFunction
code-creation,Builtin,3,2759,0x1097b21a0,12,Illegal
code-creation,Builtin,3,2765,0x1097b21c0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2770,0x1097b21e0,12,UnsupportedThrower
code-creation,Builtin,3,2776,0x1097b2200,65,ReturnReceiver
code-creation,Builtin,3,2781,0x1097b2260,44,ArrayConstructor
code-creation,Builtin,3,2786,0x1097b22a0,409,ArrayConstructorImpl
